PersonId,NID,DataRegjistrimit,GrupiGjakut
21,J12345678R,1/10/2023,A+
22,K87654321L,3/15/2023,
23,H56789012M,3/20/2023,B+
24,G09876543N,4/25/2023,AB+
25,L23456789O,5/1/2023,A-
26,R87654321P,2/10/2024,
27,S12309876Q,3/15/2024,O+
28,A09871234B,2/20/2024,AB-
29,C23409876D,4/25/2024,A+
30,D09871234E,6/1/2024,O-
31,E23456789F,7/10/2024,B+
32,F12309876G,7/15/2024,AB+
33,G09871234H,3/20/2024,A-
34,H12345678I,6/25/2024,B-
35,I87654321J,4/1/2024,
36,J09871234K,4/10/2024,
37,K12345678L,4/15/2024,A+
38,L56789012M,1/20/2025,O-
39,M09876543N,1/25/2025,B+
40,N12309876O,2/1/2025,AB+
